iso3,year,emissions_gt
ABW,1850,6.51e-07
ABW,1851,6.58e-07
ABW,1852,6.660000000000001e-07
ABW,1853,6.78e-07
ABW,1854,6.9e-07
ABW,1855,7.019999999999999e-07
ABW,1856,7.2e-07
ABW,1857,7.38e-07
ABW,1858,7.57e-07
ABW,1859,7.75e-07
ABW,1860,7.94e-07
ABW,1861,8.44e-07
ABW,1862,8.94e-07
ABW,1863,9.44e-07
ABW,1864,9.94e-07
ABW,1865,1.04e-06
ABW,1866,1.08e-06
ABW,1867,1.13e-06
ABW,1868,1.17e-06
ABW,1869,1.21e-06
ABW,1870,1.26e-06
ABW,1871,1.28e-06
ABW,1872,1.3e-06
ABW,1873,1.33e-06
ABW,1874,1.35e-06
ABW,1875,1.37e-06
ABW,1876,1.4e-06
ABW,1877,1.42e-06
ABW,1878,1.44e-06
ABW,1879,1.46e-06
ABW,1880,1.48e-06
ABW,1881,1.52e-06
ABW,1882,1.56e-06
ABW,1883,1.6000000000000001e-06
ABW,1884,1.64e-06
ABW,1885,1.6699999999999999e-06
ABW,1886,1.7e-06
ABW,1887,1.73e-06
ABW,1888,1.76e-06
ABW,1889,1.8000000000000001e-06
ABW,1890,1.85e-06
ABW,1891,1.8400000000000002e-06
ABW,1892,1.83e-06
ABW,1893,1.83e-06
ABW,1894,1.8200000000000002e-06
ABW,1895,1.8200000000000002e-06
ABW,1896,1.81e-06
ABW,1897,1.8000000000000001e-06
ABW,1898,1.8000000000000001e-06
ABW,1899,1.79e-06
ABW,1900,1.77e-06
ABW,1901,1.77e-06
ABW,1902,1.77e-06
ABW,1903,1.77e-06
ABW,1904,1.77e-06
ABW,1905,1.77e-06
ABW,1906,1.76e-06
ABW,1907,1.76e-06
ABW,1908,1.76e-06
ABW,1909,1.76e-06
ABW,1910,1.76e-06
ABW,1911,1.87e-06
ABW,1912,1.9699999999999998e-06
ABW,1913,2.08e-06
ABW,1914,2.1899999999999998e-06
ABW,1915,2.29e-06
ABW,1916,2.4e-06
ABW,1917,2.5099999999999997e-06
ABW,1918,2.61e-06
ABW,1919,2.7200000000000002e-06
ABW,1920,2.8199999999999997e-06
ABW,1921,3.1699999999999997e-06
ABW,1922,3.54e-06
ABW,1923,3.9e-06
ABW,1924,4.25e-06
ABW,1925,4.62e-06
ABW,1926,0.00063
ABW,1927,0.000621
ABW,1928,0.00162
ABW,1929,0.00203
ABW,1930,0.00248
ABW,1931,0.00212
ABW,1932,0.00205
ABW,1933,0.00219
ABW,1934,0.00244
ABW,1935,0.00282
ABW,1936,0.00301
ABW,1937,0.00364
ABW,1938,0.0039
ABW,1939,0.00367
ABW,1940,0.00304
ABW,1941,0.00375
ABW,1942,0.00219
ABW,1943,0.00353
ABW,1944,0.00443
ABW,1945,0.00514
ABW,1946,0.00565
ABW,1947,0.00621
ABW,1948,0.00633
ABW,1949,0.00338
ABW,1950,0.00042
ABW,1951,0.000657
ABW,1952,0.000384
ABW,1953,0.000444
ABW,1954,0.000886
ABW,1955,0.000736
ABW,1956,0.000949
ABW,1957,0.000652
ABW,1958,0.000574
ABW,1959,0.000735
ABW,1960,0.000635
ABW,1961,0.000662
ABW,1962,0.000726
ABW,1963,0.000696
ABW,1964,0.000678
ABW,1965,0.00061
ABW,1966,0.000572
ABW,1967,0.000701
ABW,1968,0.000654
ABW,1969,0.00085
ABW,1970,0.000949
ABW,1971,0.000829
ABW,1972,0.000805
ABW,1973,0.000891
ABW,1974,0.000809
ABW,1975,0.000592
ABW,1976,0.00124
ABW,1977,0.000658
ABW,1978,0.000564
ABW,1979,0.00059
ABW,1980,0.000607
ABW,1981,0.000579
ABW,1982,0.000645
ABW,1983,0.000343
ABW,1984,0.000823
ABW,1985,0.00096
ABW,1986,0.000202
ABW,1987,0.00047
ABW,1988,0.000635
ABW,1989,0.000672
ABW,1990,0.000512
ABW,1991,0.000558
ABW,1992,0.000566
ABW,1993,0.000678
ABW,1994,0.000691
ABW,1995,0.00074
ABW,1996,0.000757
ABW,1997,0.000794
ABW,1998,0.000842
ABW,1999,0.000847
ABW,2000,0.00246
ABW,2001,0.00249
ABW,2002,0.00252
ABW,2003,0.00265
ABW,2004,0.00272
ABW,2005,0.00282
ABW,2006,0.00279
ABW,2007,0.0029
ABW,2008,0.00273
ABW,2009,0.0027
ABW,2010,0.00256
ABW,2011,0.00256
ABW,2012,0.00139
ABW,2013,0.000903
ABW,2014,0.000913
ABW,2015,0.000938
ABW,2016,0.000924
ABW,2017,0.000931
ABW,2018,0.000914
ABW,2019,0.000933
ABW,2020,0.000932
ABW,2021,0.000934
ABW,2022,0.000931
ABW,2023,0.000983
AFG,1850,0.00386
AFG,1851,0.00388
AFG,1852,0.00391
AFG,1853,0.00393
AFG,1854,0.00396
AFG,1855,0.00398
AFG,1856,0.004
AFG,1857,0.00403
AFG,1858,0.00405
AFG,1859,0.00407
AFG,1860,0.00409
AFG,1861,0.00411
AFG,1862,0.00414
AFG,1863,0.00416
AFG,1864,0.00418
AFG,1865,0.0042
AFG,1866,0.00422
AFG,1867,0.00425
AFG,1868,0.00427
AFG,1869,0.00429
AFG,1870,0.00432
AFG,1871,0.00435
AFG,1872,0.00439
AFG,1873,0.00443
AFG,1874,0.00448
AFG,1875,0.00453
AFG,1876,0.00458
AFG,1877,0.00463
AFG,1878,0.00468
AFG,1879,0.00472
AFG,1880,0.00476
AFG,1881,0.0048
AFG,1882,0.00484
AFG,1883,0.00488
AFG,1884,0.00492
AFG,1885,0.00496
AFG,1886,0.005
AFG,1887,0.00504
AFG,1888,0.00508
AFG,1889,0.00512
AFG,1890,0.00517
AFG,1891,0.00521
AFG,1892,0.00526
AFG,1893,0.0053
AFG,1894,0.00534
AFG,1895,0.00538
AFG,1896,0.00542
