party,year,emissions_gt
Australia,1990,0.42562430701710563
Australia,1991,0.425686444956654
Australia,1992,0.42947308467973067
Australia,1993,0.43038173065699664
Australia,1994,0.4308484979561061
Australia,1995,0.4392698778627952
Australia,1996,0.4458472252887824
Australia,1997,0.45786451041859116
Australia,1998,0.47214583180405567
Australia,1999,0.478136874727016
Australia,2000,0.48952864931922235
Australia,2001,0.4973520253868611
Australia,2002,0.5010008426873185
Australia,2003,0.5011289763189023
Australia,2004,0.5184084376620186
Australia,2005,0.5248118452835623
Australia,2006,0.5292406412144754
Australia,2007,0.5358075516203253
Australia,2008,0.5385907141225664
Australia,2009,0.5414757924670233
Australia,2010,0.5368937378041769
Australia,2011,0.5386638777703595
Australia,2012,0.5418997403024831
Australia,2013,0.5322673348677259
Australia,2014,0.5267117799986517
Australia,2015,0.5349360169616537
Australia,2016,0.5439768123367639
Australia,2017,0.5508748679385018
Australia,2018,0.5524840247164413
Australia,2019,0.5466066243410562
Australia,2020,0.5281494563996167
Australia,2021,
Austria,1990,0.07904723175509915
Austria,1991,0.0827111564135882
Austria,1992,0.07614280906638922
Austria,1993,0.07651786401770973
Austria,1994,0.07672596656086228
Austria,1995,0.07995323792257363
Austria,1996,0.08311292719764508
Austria,1997,0.08271962708802663
Austria,1998,0.0820129004003456
Austria,1999,0.080455150260117
Austria,2000,0.08061936185834054
Austria,2001,0.08451404728892019
Austria,2002,0.08626753846790726
Austria,2003,0.0916363033581774
Austria,2004,0.09142789605187188
Austria,2005,0.09258857965423357
Austria,2006,0.09015866685301092
Austria,2007,0.08737795090821605
Austria,2008,0.0867708186737982
Austria,2009,0.08013703146328643
Austria,2010,0.08469329255807184
Austria,2011,0.08250575616884463
Austria,2012,0.0797883247197534
Austria,2013,0.08022851783170225
Austria,2014,0.07666266178527421
Austria,2015,0.07888446456252683
Austria,2016,0.07982126396788514
Austria,2017,0.08213249225618068
Austria,2018,0.07885437492458884
Austria,2019,0.07999413764006222
Austria,2020,0.07391084267876764
Austria,2021,0.07753235117999221
Belarus,1990,0.14533988567881265
Belarus,1991,0.13971344329639473
Belarus,1992,0.1260312170499305
Belarus,1993,0.11229643352069883
Belarus,1994,0.09634344811706397
Belarus,1995,0.08795598688507339
Belarus,1996,0.08876016151727692
Belarus,1997,0.0890220973047221
Belarus,1998,0.08775792801104222
Belarus,1999,0.08426144507342803
Belarus,2000,0.08114592132134947
Belarus,2001,0.07982585800789742
